site,cfs,date
Upper Spring Run, 0.17, 2025-01-03
Spring Run 1, 0, 2025-01-03
Spring Run 2, 0, 2025-01-03
Spring Run 3, 0, 2025-01-03
Total Comal, 63, 2025-01-03
SI Upper Far, 7.6, 2025-01-03
SI Lower Near, 5.7, 2025-01-03
SI Lower Far, 16.4, 2025-01-03
Landa Lake Cable, 24.9, 2025-01-03
Upper Spring Run, 15.6, 2019-10-23
Spring Run 1, 32.3, 2019-10-23
Spring Run 2, 5.2, 2019-10-23
Spring Run 3, 39, 2019-10-23
Total Comal, 298, 2019-10-23
SI Upper Far, 48.8, 2019-10-23
SI Lower Near, 41.5, 2019-10-23
SI Lower Far, 75, 2019-10-23
Landa Lake Cable, 130.7, 2019-10-23
