station,year,observed_days,first_observation,last_observation,inclusion_reason,forced_include,expected_days_full_year,is_current_year,expected_days_available,coverage_pct,literally_complete,year_used,year_status
Comal Springs,1927,13,1927-12-19,1927-12-31,NA,FALSE,365,FALSE,365,3.5616438356164384,FALSE,FALSE,"PARTIAL, EXCLUDED"
Comal Springs,1928,352,1928-01-01,1928-12-31,NA,FALSE,366,FALSE,366,96.17486338797814,FALSE,FALSE,"PARTIAL, EXCLUDED"
Comal Springs,1929,353,1929-01-01,1929-12-31,NA,FALSE,365,FALSE,365,96.71232876712328,FALSE,FALSE,"PARTIAL, EXCLUDED"
Comal Springs,1930,356,1930-01-01,1930-12-31,NA,FALSE,365,FALSE,365,97.53424657534246,FALSE,FALSE,"PARTIAL, EXCLUDED"
Comal Springs,1931,356,1931-01-01,1931-12-31,NA,FALSE,365,FALSE,365,97.53424657534246,FALSE,FALSE,"PARTIAL, EXCLUDED"
Comal Springs,1932,362,1932-01-01,1932-12-31,NA,FALSE,366,FALSE,366,98.90710382513662,FALSE,TRUE,"PARTIAL, RETAINED"
Comal Springs,1933,365,1933-01-01,1933-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
Comal Springs,1934,365,1934-01-01,1934-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
Comal Springs,1935,365,1935-01-01,1935-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
Comal Springs,1936,366,1936-01-01,1936-12-31,NA,FALSE,366,FALSE,366,100,TRUE,TRUE,COMPLETE
Comal Springs,1937,365,1937-01-01,1937-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
Comal Springs,1938,365,1938-01-01,1938-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
Comal Springs,1939,365,1939-01-01,1939-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
Comal Springs,1940,366,1940-01-01,1940-12-31,NA,FALSE,366,FALSE,366,100,TRUE,TRUE,COMPLETE
Comal Springs,1941,365,1941-01-01,1941-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
Comal Springs,1942,365,1942-01-01,1942-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
Comal Springs,1943,365,1943-01-01,1943-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
Comal Springs,1944,366,1944-01-01,1944-12-31,NA,FALSE,366,FALSE,366,100,TRUE,TRUE,COMPLETE
Comal Springs,1945,365,1945-01-01,1945-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
Comal Springs,1946,365,1946-01-01,1946-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
Comal Springs,1947,365,1947-01-01,1947-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
Comal Springs,1948,366,1948-01-01,1948-12-31,NA,FALSE,366,FALSE,366,100,TRUE,TRUE,COMPLETE
Comal Springs,1949,365,1949-01-01,1949-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
Comal Springs,1950,365,1950-01-01,1950-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
Comal Springs,1951,365,1951-01-01,1951-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
Comal Springs,1952,366,1952-01-01,1952-12-31,NA,FALSE,366,FALSE,366,100,TRUE,TRUE,COMPLETE
Comal Springs,1953,365,1953-01-01,1953-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
Comal Springs,1954,365,1954-01-01,1954-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
Comal Springs,1955,365,1955-01-01,1955-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
Comal Springs,1956,366,1956-01-01,1956-12-31,NA,FALSE,366,FALSE,366,100,TRUE,TRUE,COMPLETE
Comal Springs,1957,365,1957-01-01,1957-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
Comal Springs,1958,365,1958-01-01,1958-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
Comal Springs,1959,365,1959-01-01,1959-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
Comal Springs,1960,366,1960-01-01,1960-12-31,NA,FALSE,366,FALSE,366,100,TRUE,TRUE,COMPLETE
Comal Springs,1961,365,1961-01-01,1961-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
Comal Springs,1962,365,1962-01-01,1962-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
Comal Springs,1963,365,1963-01-01,1963-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
Comal Springs,1964,366,1964-01-01,1964-12-31,NA,FALSE,366,FALSE,366,100,TRUE,TRUE,COMPLETE
Comal Springs,1965,365,1965-01-01,1965-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
Comal Springs,1966,365,1966-01-01,1966-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
Comal Springs,1967,365,1967-01-01,1967-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
Comal Springs,1968,366,1968-01-01,1968-12-31,NA,FALSE,366,FALSE,366,100,TRUE,TRUE,COMPLETE
Comal Springs,1969,365,1969-01-01,1969-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
