station,window_months,window_start_month,window_end_month,rolling_mean_cfs,partial_months_in_window,unusable_months_in_window,historical_rank_lowest,historical_n,low_flow_percentile
Comal Springs,1,1956-07-01,1956-07-01,0,0,0,1,1135,0.3524229074889868
Comal Springs,1,1956-08-01,1956-08-01,0,0,0,1,1135,0.3524229074889868
Comal Springs,1,1956-09-01,1956-09-01,0,0,0,1,1135,0.3524229074889868
Comal Springs,1,1956-10-01,1956-10-01,0,0,0,1,1135,0.3524229074889868
Comal Springs,1,1956-06-01,1956-06-01,3.7,0,0,5,1135,0.4405286343612335
Comal Springs,1,1956-11-01,1956-11-01,21.5,0,0,6,1135,0.5286343612334802
Comal Springs,1,1956-05-01,1956-05-01,27.774193548387096,0,0,7,1135,0.6167400881057269
Comal Springs,1,1984-07-01,1984-07-01,32.774193548387096,0,0,8,1135,0.7048458149779736
Comal Springs,1,1984-08-01,1984-08-01,34.935483870967744,0,0,9,1135,0.7929515418502203
Comal Springs,1,1956-12-01,1956-12-01,35.58064516129032,0,0,10,1135,0.881057268722467
Comal Springs,1,1984-09-01,1984-09-01,40.53333333333333,0,0,11,1135,0.9691629955947136
Comal Springs,1,1956-04-01,1956-04-01,41.46666666666667,0,0,12,1135,1.0572687224669604
Comal Springs,1,1957-02-01,1957-02-01,49.57142857142857,0,0,13,1135,1.145374449339207
Comal Springs,1,1957-01-01,1957-01-01,51.16129032258065,0,0,14,1135,1.2334801762114538
Comal Springs,1,1955-08-01,1955-08-01,51.935483870967744,0,0,15,1135,1.3215859030837005
Comal Springs,1,1955-09-01,1955-09-01,54.2,0,0,16,1135,1.4096916299559472
Comal Springs,1,1955-10-01,1955-10-01,58.67741935483871,0,0,17,1135,1.4977973568281937
Comal Springs,1,2024-12-01,2024-12-01,60.516129032258064,0,0,18,1135,1.5859030837004406
Comal Springs,1,2025-05-01,2025-05-01,61.45161290322581,0,0,19,1135,1.6740088105726871
Comal Springs,1,2026-03-01,2026-03-01,62.935483870967744,0,0,20,1135,1.762114537444934
Comal Springs,1,2024-10-01,2024-10-01,63.806451612903224,0,0,21,1135,1.8502202643171806
Comal Springs,1,2023-08-01,2023-08-01,64.3225806451613,0,0,22,1135,1.9383259911894273
Comal Springs,1,1955-07-01,1955-07-01,64.87096774193549,0,0,23,1135,2.026431718061674
Comal Springs,1,1957-03-01,1957-03-01,65.38709677419355,0,0,24,1135,2.1145374449339207
Comal Springs,1,2025-11-01,2025-11-01,65.43333333333334,0,0,25,1135,2.2026431718061676
Comal Springs,1,2025-10-01,2025-10-01,66,0,0,26,1135,2.290748898678414
