year,pool,startdate,enddate,stage,days
2008,San Antonio,2008-06-23,2008-07-22,1,30
2009,San Antonio,2009-04-27,2009-06-17,1,52
2009,San Antonio,2009-06-18,2009-09-16,2,91
2009,San Antonio,2009-09-17,2009-10-12,1,26
2011,San Antonio,2011-04-18,2011-06-01,1,45
2011,San Antonio,2011-06-02,2011-12-03,2,185
2011,San Antonio,2011-12-04,2011-12-31,1,28
2011,Uvalde,2011-06-27,2011-12-31,2,188
2012,San Antonio,2012-01-01,2012-02-09,1,40
2012,San Antonio,2012-04-18,2012-05-02,1,15
2012,San Antonio,2012-05-03,2012-06-01,2,30
2012,San Antonio,2012-06-02,2012-06-12,1,11
2012,San Antonio,2012-06-13,2012-08-14,2,63
2012,San Antonio,2012-08-15,2012-09-15,3,32
2012,San Antonio,2012-09-16,2012-12-05,2,81
2012,San Antonio,2012-12-06,2012-12-31,1,26
2012,Uvalde,2012-01-01,2012-05-09,2,130
2012,Uvalde,2012-05-10,2012-06-21,3,43
2012,Uvalde,2012-06-22,2012-08-27,4,67
2012,Uvalde,2012-08-28,2012-12-31,3,126
2013,San Antonio,2013-01-01,2013-03-10,1,69
2013,San Antonio,2013-03-11,2013-05-31,2,82
2013,San Antonio,2013-06-01,2013-06-27,1,27
2013,San Antonio,2013-06-28,2013-07-30,2,33
2013,San Antonio,2013-07-31,2013-11-04,3,97
2013,San Antonio,2013-11-05,2013-12-15,2,41
2013,San Antonio,2013-12-16,2013-12-31,3,16
2013,Uvalde,2013-01-01,2013-01-03,3,3
2013,Uvalde,2013-01-04,2013-03-27,4,83
2013,Uvalde,2013-03-28,2013-12-31,5,279
2014,San Antonio,2014-01-01,2014-01-03,3,3
2014,San Antonio,2014-01-04,2014-04-09,2,96
2014,San Antonio,2014-04-10,2014-08-11,3,124
2014,San Antonio,2014-08-12,2014-11-08,4,89
2014,San Antonio,2014-11-09,2014-12-31,3,53
2014,Uvalde,2014-01-01,2014-12-31,5,365
2015,San Antonio,2015-01-01,2015-01-27,3,27
2015,San Antonio,2015-01-28,2015-04-28,2,91
2015,San Antonio,2015-04-29,2015-05-09,1,11
2015,San Antonio,2015-05-10,2015-05-18,2,9
2015,San Antonio,2015-05-19,2015-05-29,1,11
2015,San Antonio,2015-07-30,2015-08-14,1,16
2015,San Antonio,2015-08-15,2015-10-30,2,77
2015,San Antonio,2015-10-31,2015-11-08,1,9
2015,Uvalde,2015-01-01,2015-06-03,5,154
2015,Uvalde,2015-06-04,2015-06-07,4,4
2015,Uvalde,2015-06-08,2015-06-21,3,14
2015,Uvalde,2015-06-22,2015-08-03,2,43
