Year,Uvalde,Medina,Bexar,Comal,Hays,Total,Total_Wells,Total_Springs
1934,12.6,1.3,109.3,229.1,85.6,437.9,101.9,336
1935,12.2,1.5,171.8,237.2,96.9,519.6,103.7,415.9
1936,26.6,1.5,215.2,261.7,93.2,598.2,112.7,485.5
1937,28.3,1.5,201.8,252.5,87.1,571.2,120.2,451
1938,25.2,1.6,187.6,250,93.4,557.8,120.1,437.7
1939,18.2,1.6,122.5,219.4,71.1,432.8,118.9,313.9
1940,16.1,1.6,116.7,203.8,78.4,416.6,120.1,296.5
1941,17.9,1.6,197.4,250,134.3,601.2,136.8,464.4
1942,22.5,1.7,203.2,255.1,112.2,594.7,144.6,450.1
1943,19.2,1.7,172,249.2,97.2,539.3,149.1,390.2
1944,11.6,1.7,166.3,252.5,135.3,567.4,147.3,420.1
1945,12.4,1.7,199.8,263.1,137.8,614.8,153.3,461.5
1946,6.2,1.7,180.1,261.9,134,583.9,155,428.9
1947,13.8,2,193.3,256.8,127.6,593.5,167,426.5
1948,9.2,1.9,159.2,203,77.3,450.6,168.7,281.9
1949,13.2,2,165.3,209.5,89.8,479.8,179.4,300.4
1950,17.8,2.2,177.3,191.1,78.3,466.7,193.8,272.9
1951,16.9,2.2,186.9,150.5,69.1,425.6,209.7,215.9
1952,22.7,3.1,187.1,133.2,78.8,424.9,215.4,209.5
1953,27.5,4,193.7,141.7,101.4,468.3,229.8,238.5
1954,26.6,6.3,208.9,101,81.5,424.3,246.2,178.1
1955,28.3,11.1,215.2,70.1,64.1,388.8,261,127.8
1956,59.6,17.7,229.6,33.6,50.4,390.9,321.1,69.8
1957,29,11.9,189.4,113.2,113,456.5,237.3,219.2
1958,23.7,6.6,199.5,231.8,155.9,617.5,219.3,398.2
1959,43,8.3,217.5,231.7,118.5,619,234.5,384.5
1960,53.7,7.6,215.4,235.2,143.5,655.4,227.1,428.3
1961,56.5,6.4,230.3,249.5,140.8,683.5,228.2,455.3
1962,64.6,8.1,220,197.5,98.8,589,267.9,321.1
1963,51.4,9.7,217.3,155.7,81.9,516,276.4,239.6
1964,49.3,8.6,201,141.8,73.3,474,260.2,213.8
1965,46.8,10,201.1,194.7,126.3,578.9,256.1,322.8
1966,48.5,10.4,198,198.9,115.4,571.2,255.9,315.3
1967,81.1,15.2,239.7,139.1,82.3,557.4,341.3,216.1
1968,58,9.9,207.1,238.2,146.8,660,251.7,408.3
1969,88.5,13.6,216.3,218.2,122.1,658.7,307.5,351.2
1970,100.9,16.5,230.6,229.2,149.9,727.1,329.4,397.7
1971,117,32.4,262.8,168.2,99.1,679.5,406.8,272.7
1972,112.6,28.8,247.7,234.3,123.7,747.1,371.3,375.8
1973,96.5,14.9,273,289.3,164.3,838,310.4,527.6
1974,133.3,28.6,272.1,286.1,141.1,861.2,377.4,483.8
1975,112,22.6,259,296,178.6,868.2,327.8,540.4
1976,136.4,19.4,253.2,279.7,164.7,853.4,349.5,503.9
1977,156.5,19.9,317.5,295,172,960.9,380.6,580.3
1978,154.3,38.7,269.5,245.7,99.1,807.3,431.8,375.5
1979,130.1,32.9,294.5,300,157,914.5,391.5,523
1980,151,39.9,300.3,220.3,107.9,819.4,491.1,328.3
1981,104.2,26.1,280.7,241.8,141.6,794.4,387.1,407.3
1982,129.2,33.4,305.1,213.2,105.5,786.4,453.1,333.3
1983,107.7,29.7,277.6,186.6,118.5,720.1,418.5,301.6
1984,156.9,46.9,309.7,108.9,85.7,708.1,529.8,178.3
1985,156.9,59.2,295.5,200,144.9,856.5,522.5,334
1986,91.7,41.9,294,229.3,160.4,817.3,429.3,388
1987,94.9,15.9,326.6,286.2,198.4,922,364.1,557.9
1988,156.7,82.2,317.4,236.5,116.9,909.7,540,369.7
1989,156.9,70.5,305.6,147.9,85.6,766.5,542.4,224.1
1990,118.1,69.7,276.8,171.3,94.1,730,489.4,240.6
1991,76.6,25.6,315.5,221.9,151,790.6,436,354.6
1992,76.5,9.3,370.5,412.4,261.3,1130,327.2,802.8
1993,107.5,17.8,371,349.5,151,996.7,407.3,589.4
1994,95.5,41.1,297.7,269.8,110.6,814.8,424.6,390.2
1995,90.8,35.2,272.1,235,127.8,761,399.6,361.3
1996,117.6,66.3,286.8,150.2,84.7,705.6,493.6,212
1997,77,31.4,260.2,243.3,149.2,761.1,377.1,383.9
1998,113.1,51.3,312.4,271.8,168.8,917.6,453.5,464.1
1999,104,49.2,307.1,295.5,143,898.8,442.7,456.1
2000,89.1,45.1,283.6,226.1,108.4,752.3,414.8,337.5
2001,68.6,33.9,291.6,327.7,175.4,890,367.7,529.6
2002,76.2,40.6,311.9,350.4,202.1,981.2,371.3,609.9
2003,89.4,34.8,331.7,344.7,176.3,976.9,362.1,621.5
2004,91.3,22.5,331.9,341.4,153.1,940.3,317.4,622.9
2005,107.4,37.3,366.1,349.3,175.6,1035.7,388.5,647.1
2006,107.5,64.9,289.5,216.7,87.9,766.5,454.5,312
2007,64.6,18.4,330.2,331.7,196,940.9,319.9,621
2008,102,48.8,320.4,266.6,108,845.7,428.6,417.1
2009,76.9,47.3,265.2,206.6,87.8,683.7,395.7,287.9
2010,53.1,36.4,298.5,312.1,162.5,862.6,372.6,490
2011,79.6,57.4,277.2,187.7,91,692.9,427.7,265.2
2012,57.6,44.3,267.5,193.4,124.2,687,384.7,302.3
2013,43.6,42.8,251,154.9,96,588.6,355.8,232.8
2014,41.5,43.1,230.5,114.5,97.9,527.5,332.2,195.4
2015,27.1,27.6,256.3,239.8,178.8,729.7,325.2,404.5
2016,46.9,31.9,262.6,320.7,208.3,870.3,325.3,545
2017,63,43.6,305.3,294,166.8,872.2,379.2,493
2018,69.9,42,277.1,244,130.4,763.6,370.6,393
2019,76.8,40.9,290.7,306.1,225,884.6,358.6,526
2020,79.1,50.5,236.6,235.2,114.7,716.2,362.4,353.7
2021,56.1,39.8,222.3,235.2,113.7,667.1,326.6,340.5
2022,70.7,56.4,241.7,143.1,92.9,607.2,387.2,219.9
2023,45.4,39.9,216.5,99.1,68.5,471.7,320.5,151.1
2024,48.8,44.4,207.8,101.7,88.4,493.1,320.9,172.2
