Year,Irrigation,Municipal,Domestic_Stock,Industrial/Commercial,Springs
1955,85.2,120.5,30.1,25.1,127.8
1956,127.2,138.3,28.9,22.4,69.8
1957,68.8,116.1,29.8,22.6,219.2
1958,47.2,113.7,33.4,25.1,398.2
1959,60,118.9,31.5,24.2,384.5
1960,54.9,121.1,31.5,23.3,428.3
1961,52.1,124.5,29.6,22.2,455.3
1962,72.7,143.7,28.8,22.8,321.1
1963,75.4,151.8,27.8,21.8,239.6
1964,72.6,140.2,26.3,21.7,213.8
1965,68,138.8,27,22.3,322.8
1966,68.2,141.8,23.3,22.6,315.3
1967,119.4,171,25.1,25.8,216.1
1968,59.3,146.9,25.5,20,408.3
1969,95.2,162,29.2,21.1,351.2
1970,110.1,167.5,29.3,22.5,397.7
1971,159.4,196.2,28.6,22.6,272.7
1972,128.8,190.5,30.8,21.1,375.8
1973,82.2,177.1,32.3,18.8,527.6
1974,140.4,174.6,33.5,15.1,483.3
1975,96.4,182.5,33.6,15.3,540.4
1976,118.2,182.1,34.6,14.7,503.9
1977,124.2,205.3,38.1,13,580.3
1978,165.8,214.2,40.3,11.5,375.5
1979,126.8,208.9,40.7,15.2,523
1980,177.9,256.2,43.3,13.7,328.3
1981,101.8,231.8,40.9,12.6,407.3
1982,130,268.6,39.5,15,333.3
1983,115.9,249.2,38.8,14.7,301.5
1984,191.2,287.2,36.2,15.2,178.3
1985,203.1,263.7,39.2,16.5,334
1986,104.2,266.3,42,16.8,388
1987,40.9,260.9,43.5,18.7,557.9
1988,193.1,286.2,41.9,18.8,369.7
1989,196.2,285.2,38.2,22.9,224.1
1990,172.9,254.9,37.9,23.7,240.6
1991,88.5,240.5,39.5,67.5,354.6
1992,27.1,236.5,34.8,29,802.8
1993,69.3,252,49.9,36.1,589.4
1994,104.5,247,33.9,39.3,390.2
1995,95.6,255,11.6,37.3,361.3
1996,181.3,261.3,12.3,38.8,212
1997,77.4,253,12.3,34.4,383.9
1998,131.9,266.5,13.4,41.7,464.1
1999,113.6,273.3,13.4,42.4,456.1
2000,106.3,261.3,13.4,33.8,337.5
2001,79,245.9,13.4,29.4,529.4
2002,97.1,228.4,13.6,32.3,609.9
2003,79.6,237.2,13.7,31.7,621.5
2004,55.4,220.3,13.8,28.1,622.9
2005,85.3,255.1,13.8,34.3,647.1
2006,149.1,259.1,13.8,34.5,312
2007,42.5,236,13.8,27.6,620.6
2008,112.7,273.6,13.5,28.8,417.1
2009,108.9,247.5,13.6,25.7,288
2010,72.7,259.9,13.6,26.4,490
2011,124.9,265.5,13.6,23.6,265.2
2012,90.6,257.9,13.7,22.6,302.3
2013,76.3,239.5,13.7,26.3,232.8
2014,75.3,220.1,13.9,22.8,195.4
2015,42.2,247.2,13.9,21.9,404.5
2016,54.7,232.6,14,24,545
2017,74.1,268.3,14,22.8,493
2018,84,250.5,14.1,22.1,393
2019,73.7,241.5,14.1,23.8,526
2020,97.7,223.4,14.6,26.8,353.7
2021,74.3,212,14.5,25.7,340.5
2022,111,228.1,14.9,27.7,220
2023,69.8,206.6,15,23.6,151
2024,76.3,201.2,15.1,22.8,172.2
