year,permitted_amt,after_cpm,pumped,unpumped,pool,permit_type,cpm_reduction_percent
2008,372670.703,366711.184,290576,76135.184,sanantonio,mandi,1.64
2009,395184.204,348584.666,263465,85119.666,sanantonio,mandi,11.8
2010,393080.054,393080.054,277297,115783.054,sanantonio,mandi,0
2011,391712.391,316553.108,278710,37843.108,sanantonio,mandi,19.2
2012,395184.204,306722.121,275939,30783.121,sanantonio,mandi,22.4
2013,390218.904,277526.356,256328,21198.356,sanantonio,mandi,28.9
2014,401030.074,260761.153,233850.991,26910.162,sanantonio,mandi,35
2015,405065.802,325316.436,260459.476,64856.96,sanantonio,mandi,19.7
2016,418149.014,418149.014,248209.238,169939.776,sanantonio,mandi,0
2017,415744,401608.704,282422.285,119186.419,sanantonio,mandi,3.4
2018,414919,378598,263806,114792,sanantonio,mandi,8.7
2019,392611.009,392611.009,262224.176,130386.833,sanantonio,mandi,0
2020,392607.396,368082.87,241195.618,126887.252,sanantonio,mandi,6.3
2021,388575.804,366425.936,229425.93,137000.006,sanantonio,mandi,5.7
2022,389698.703,286133.591,252518.737,33614.854,sanantonio,mandi,26.7
2023,380907.187,244577.581,227096.905,17480.676,sanantonio,mandi,35.8
2024,379823,241640,220724,20916,sanantonio,mandi,36.4
2025,388178,236481,214399,22081,sanantonio,mandi,39.2
2008,96489.03,94946.129,48993,45953.129,sanantonio,irrigation,1.64
2009,86495.405,76298.008,50072,26226.008,sanantonio,irrigation,11.8
2010,90729.161,90729.161,34572,56157.161,sanantonio,irrigation,0
2011,89926.544,72676.405,56734,15942.405,sanantonio,irrigation,19.2
2012,86495.405,67135.249,41393,25742.249,sanantonio,irrigation,22.4
2013,90667.546,64491.786,39382,25109.786,sanantonio,irrigation,28.9
2014,79692.378,51839.197,40231.253,11607.944,sanantonio,irrigation,35
2015,105419.775,51816.759,22677.752,29139.007,sanantonio,irrigation,19.7
2016,76714.127,76714.127,25857.167,50856.96,sanantonio,irrigation,0
2017,77149,75157,38585.229,36571.771,sanantonio,irrigation,3.4
2018,78325,74120,37447,36673,sanantonio,irrigation,8.7
2019,87073.653,87073.653,34851.875,52221.778,sanantonio,irrigation,0
2020,86778.165,81508.439,43931.485,37576.954,sanantonio,irrigation,6.3
2021,89182.571,84098.997,31968.204,52130.793,sanantonio,irrigation,5.7
2022,89874.641,71253.549,49632.419,21621.13,sanantonio,irrigation,26.7
2023,87107.947,52159.448,31368.401,20791.047,sanantonio,irrigation,35.8
2024,115409,81641,33528,48113,sanantonio,irrigation,36.4
2025,104617,71228,32411,38817,sanantonio,irrigation,39.2
2008,6497.135,6497.135,4894,1603.135,uvalde,mandi,0
2009,6852.02,6852.02,4904,1948.02,uvalde,mandi,0
2010,6451.488,6451.488,4094,2357.488,uvalde,mandi,0
2011,6496.488,6327.886,5013,1314.886,uvalde,mandi,2.6
2012,6852.02,5662.306,4498,1164.306,uvalde,mandi,17.4
2013,8966.284,5224.562,3965,1259.562,uvalde,mandi,41.8
2014,8978.945,5062.82,3809.253,1253.567,uvalde,mandi,44
2015,6324.059,5037.509,3285.949,1751.56,uvalde,mandi,35
2016,5289.713,5289.713,3115.827,2173.886,uvalde,mandi,0
2017,5499,5499,3310.221,2188.779,uvalde,mandi,0
2018,4566,4566,3384,1182,uvalde,mandi,0
2019,4693.526,4693.526,3067.361,1626.165,uvalde,mandi,0
2020,4227.005,4227.005,3577.315,649.69,uvalde,mandi,0
2021,3584.646,3584.646,2898.809,685.837,uvalde,mandi,0
2022,4136.248,3916.737,3330.448,586.289,uvalde,mandi,4.5
2023,4364.211,3614.071,3124.695,489.376,uvalde,mandi,17
2024,4053,2485,3257,-771,uvalde,mandi,38.9
2025,4208,2368,3258,-890,uvalde,mandi,44
2008,95942.632,95942.632,63715,32227.632,uvalde,irrigation,0
2009,83067.871,83067.871,58814,24253.871,uvalde,irrigation,0
2010,81338.797,81338.797,38118,43220.797,uvalde,irrigation,0
2011,83464.077,81294.417,68171,13123.417,uvalde,irrigation,2.6
2012,83067.871,68616.725,49163,19453.725,uvalde,irrigation,17.4
2013,81746.766,47583.403,36959,10624.403,uvalde,irrigation,41.8
2014,81898.103,45871.8,35057.115,10814.685,uvalde,irrigation,44
2015,54789.864,43617.637,19084.181,24533.456,uvalde,irrigation,35
2016,71446.646,71446.646,28811.863,42634.783,uvalde,irrigation,0
2017,73207,73207,35534.237,37672.763,uvalde,irrigation,0
2018,73789,73789,46503,27286,uvalde,irrigation,0
2019,87221.312,87221.312,38876.223,48345.089,uvalde,irrigation,0
2020,87986.934,87986.934,53752.855,34234.079,uvalde,irrigation,0
2021,90256.479,90256.479,42315.08,47941.399,uvalde,irrigation,0
2022,87889.908,82252.661,61391.554,20861.107,uvalde,irrigation,4.5
2023,99220.155,62450.044,38396.579,24053.465,uvalde,irrigation,17.3
2024,72315,56586,42801,13785,uvalde,irrigation,38.9
2025,74597,53181,35651,17530,uvalde,irrigation,44
